id;tag_name;tag_value;health_condition_tag;covid_positive_tag;follow_up_tag;treatment_tag;metadata
1;payment;Handcrafted Sports success;Optional local Alaska;Director;Keyboard;Iowa payment;Frozen Tuna parallelism
2;Sri Lanka Triple-buffered;project Sports;ivory;innovate Home Loan Account;firewall;Designer;Cross-platform quantifying
3;withdrawal generate bandwidth;orchestrate Shoes;Branch revolutionize;quantifying;Argentine Peso Generic Rubber Fish;white IB payment;Cuba Response copy
4;Steel Computer copying;Accountability Dong Shoes;Director Shoes;circuit quantify;Prairie;Bike;bluetooth Small Steel Tuna
5;Cambridgeshire withdrawal;copying;port;Data magenta;Costa Rica human-resource budgetary management;Berkshire architectures back up;methodology
6;Manor national;Granite Manager calculating;card;experiences;Unbranded;global teal Money Market Account;yellow back-end
7;Quality-focused;orchid;Credit Card Account Sleek;Sleek Wooden Car Pre-emptive;New Hampshire online;Tasty Cotton Chips;Bahraini Dinar Avon
8;input redundant;Metal optical Small;Nebraska Cotton Automotive;Mexican Peso Mexican Unidad de Inversion (UDI) global;Architect Money Market Account;cross-platform;benchmark
9;Frozen uniform red;Brazilian Real;Fully-configurable Cross-platform;Frozen interface;synthesizing;Pass invoice;Interactions
10;Customer;program mobile Nakfa;Handcrafted Pants Tuna;Forges;Minnesota Personal Loan Account Granite;orange Metal Guinea;quantify panel Analyst
