id;ticket_name;status;state;channel;category;subcategory;contact_details;mobile_number;patinet_id_ref;ticket_id_ref
1;out-of-the-box Adaptive users;Quetzal Reactive HTTP;Granite;deliverables Afghanistan Planner;Tasty Seychelles Rupee blue;withdrawal invoice Norwegian Krone;executive;interfaces Concrete;26359;63177
2;Administrator Games;frictionless frame Legacy;Applications;Savings Account Toys;Metal;maroon;payment;Plastic Incredible;18534;72226
3;CSS;benchmark;Soft Credit Card Account;New Hampshire;deposit deposit wireless;Refined;matrix communities Handcrafted Steel Chair;Chief;809;80954
4;Mouse Multi-layered Accounts;Lakes payment;expedite Plastic mission-critical;Manager harness utilize;Kids Investor;synthesizing Customer;Concrete focus group;Avon Sausages Computer;27632;10133
5;United States Minor Outlying Islands wireless Beauty;Rustic;Dynamic transmit virtual;bluetooth;XML;payment hacking Baby;Dynamic Cambridgeshire Cotton;Assurance deposit;36934;87393
6;Small Fresh Chicken;Plastic;system District Cheese;magenta;Bridge;contingency human-resource;impactful neural;Centers Indian Rupee;39616;5571
7;optical Soft Wall;emulation harness capacitor;optical salmon Representative;viral Savings Account overriding;Guam;Pants magenta;withdrawal;invoice Avon;81683;92836
8;firewall connect;Rubber;next-generation;Avon Table;THX Team-oriented synthesize;navigating;Corporate Checking Account;application indexing viral;63658;10502
9;index Cameroon uniform;Home Loan Account THX;Kip hack e-commerce;transmit Trinidad and Tobago;Assurance compressing;azure;Product empower purple;Fall Cambridgeshire;52677;15768
10;Frozen salmon;killer;Money Market Account Product;Belgium technologies;panel matrix;integrate;auxiliary;Home cross-media;28809;68609
