id;ambulance_number;ambulance_type;driver_name;driver_primary_telephone_no;driver_secondary_telephone_no;profession;origin_address;destination_address;ambulance_dispatch_flag;pickup_date_time;drop_date_time;facility_provider_id_ref;ambulance_service_id_ref
1;Wisconsin;frame bypass Corporate;Trace Guyana Dollar online;Granite Steel;Bacon;Plastic;SAS;Security Computer generating;true;2020-08-31T13:24:39;2020-09-01T07:14:21;58118;88054
2;Massachusetts;Universal Home Loan Account Avon;SSL;Concrete;infrastructures Savings Account;Savings Account withdrawal;Steel Baht Robust;copy transmit Jewelery;false;2020-09-01T05:56:18;2020-08-31T15:32:59;29220;52103
3;override applications;wireless;Bermudian Dollar (customarily known as Bermuda Dollar) reinvent;THX Avon;Executive backing up;Money Market Account indexing;Home Loan Account;Chicken;false;2020-08-31T14:55:58;2020-08-31T23:09:36;62620;39415
4;Liaison;experiences primary Cambridgeshire;Credit Card Account;backing up Glen;Chair Georgia Towels;Savings Account Proactive;Rustic Soft Ball generate;synthesize EXE Team-oriented;false;2020-09-01T09:05:54;2020-09-01T06:49:51;25529;22267
5;Croatian Kuna front-end;well-modulated Avon mission-critical;Port moratorium Handcrafted Metal Soap;Handmade Concrete Sausages Table SCSI;AI Avon;Drives coherent Sleek Cotton Computer;Concrete Solomon Islands Dollar payment;Planner;false;2020-08-31T17:57:33;2020-09-01T03:06:15;68921;74981
6;withdrawal back-end;Tactics Passage bifurcated;reboot Maryland Planner;Plastic innovate empower;Bedfordshire Home Loan Account Home;circuit markets;Toys hack;Buckinghamshire;false;2020-08-31T16:13:48;2020-09-01T07:24:10;81758;12806
7;synthesizing Fantastic;Djibouti Franc;Refined Mouse Unbranded Plastic Tuna;brand microchip feed;Garden;content;Jewelery;Small;false;2020-08-31T09:58:02;2020-09-01T05:30:59;16484;84361
8;Pizza;methodologies;Jewelery Handcrafted Soft;payment transform Forward;interface New Taiwan Dollar;deposit Senior systems;Circle Unbranded Fresh Soap Equatorial Guinea;Investment Account;true;2020-09-01T00:05:14;2020-09-01T00:57:26;51400;9231
9;Fantastic interface synthesize;Wyoming wireless solution;Investor e-tailers auxiliary;internet solution AI;dynamic Tasty;experiences;homogeneous experiences bandwidth;relationships;false;2020-08-31T12:40:38;2020-08-31T21:34:42;17657;19219
10;North Carolina invoice Factors;Robust;index port;Bacon Intelligent Berkshire;interactive;Computers Investment Account Concrete;Frozen Buckinghamshire;Branding Falls;true;2020-08-31T18:52:59;2020-08-31T17:57:20;61583;98681
