id;status;comments;assignee_id_ref
1;Music;Liaison Baby;27736
2;Configurable Buckinghamshire;productivity deploy HDD;16000
3;Bedfordshire Panama;Slovakia (Slovak Republic) Avon;58541
4;Auto Loan Account;Balanced;14922
5;Handcrafted Plastic Sausages programming;encompassing;46353
6;Automotive Borders Malawi;Landing Buckinghamshire haptic;85475
7;connect Ergonomic Steel Chips Practical Plastic Hat;connecting Creative Executive;8158
8;Fantastic Frozen Computer Ergonomic teal;collaboration secondary Graphic Interface;27841
9;Personal Loan Account Soft;Handcrafted Plastic Chips Borders Multi-layered;31097
10;Alabama JSON Fantastic Fresh Bike;withdrawal toolset;9970
