id;district_code;district_name;hobli_code;surveynum;taluk_code;taluk_name;type;village_code;village_name;hobli_name;message
1;high-level Engineer;Investor synergize;ivory;enterprise;Island Legacy;plug-and-play Multi-channelled responsive;Industrial;modular online;Legacy;definition Small;Shirt Synchronised
2;Gloves Savings Account;Metrics payment;Health;Wooden;Technician 24/7 Money Market Account;Garden Administrator Cambridgeshire;Human Brunei Dollar;XML Georgia;throughput 1080p;Cross-platform;Borders
3;Jewelery input synthesizing;Factors Intelligent;multi-state Berkshire;Movies;Credit Card Account;actuating Refined Frozen Sausages;Belize Dollar Soft Steel;Gorgeous Fresh Table Legacy upward-trending;Unbranded Cotton Car open-source Direct;Towels Officer partnerships;Music transmitting synthesizing
4;Incredible;orchid;functionalities morph focus group;Kids;Tasty Plastic Hat;Rustic Granite Chair innovative Delaware;Metal Fiji application;Dominican Republic;Investment Account disintermediate facilitate;Grocery connecting port;Cambridgeshire
5;solid state;Global;Ouguiya Fantastic implementation;Saint Helena SMTP;Configuration International Shirt;orange Games;Bedfordshire auxiliary;Investment Account silver;Gloves;Consultant sky blue;Cambridgeshire
6;reciprocal lime;Investment Account;payment Global Guadeloupe;Syrian Arab Republic Junctions deposit;Fish Industrial;Open-architected;cross-media Principal;Ergonomic Frozen Shoes Exclusive Unbranded;Direct Colorado;indigo Kip Orchestrator;Awesome Concrete Table
7;Executive optical;Legacy Cheese;input extranet Svalbard & Jan Mayen Islands;Senegal;reciprocal Lead;Grocery Integration;reinvent Cambridgeshire deposit;mobile silver Gorgeous Plastic Pizza;Sleek Wooden Mouse groupware;instruction set Manager transmitting;portals Generic Wooden Bike
8;deliverables turquoise magnetic;Multi-layered Myanmar;Licensed Concrete Salad Data;middleware Prairie;indexing Ergonomic Cotton Towels;Pants RSS;Path synthesize;Persevering;Outdoors Tasty Fresh Keyboard maroon;deposit systems;Nebraska deposit
9;Saint Helena Pound Mouse Northern Mariana Islands;Rubber SCSI;SAS;secured line Architect e-business;Incredible Practical;Representative Manors;Pizza Ergonomic;Sports;invoice;withdrawal;invoice neural Streamlined
10;Web;Cambridgeshire auxiliary;invoice Generic Steel Car Refined;Soap;Hungary protocol Refined;olive;hub bluetooth Movies;monetize Berkshire Personal Loan Account;mobile SQL Tennessee;Wooden;zero defect Hawaii portals
