id;type_of_schedule;start_date_time;end_date_time;shift_type;status;schedule_date;schedule_start_time;schedule_end_time
1;SDD Principal Implementation;2020-08-31T18:58:13;2020-08-31T11:16:16;open-source;Customer Algerian Dinar;2020-08-31T23:03:49;40660;53144
2;Fresh;2020-08-31T12:25:59;2020-08-31T16:10:13;Saudi Arabia;Intelligent;2020-09-01T03:52:53;52333;41714
3;firewall;2020-09-01T03:17:17;2020-08-31T10:32:31;Regional;Avon HTTP;2020-08-31T22:28:38;18356;93613
4;Ukraine;2020-08-31T18:00:15;2020-08-31T18:55:30;schemas Frozen;Auto Loan Account;2020-09-01T07:39:12;81463;83669
5;quantifying Fantastic hub;2020-08-31T19:56:36;2020-08-31T10:57:21;scale connect Usability;Refined Plastic Ball;2020-09-01T07:26:32;70998;32601
6;copy Future deposit;2020-09-01T02:26:56;2020-08-31T15:56:17;Handcrafted Metal Chips;calculating;2020-09-01T09:07:49;76325;69153
7;navigating Dominican Peso Wallis and Futuna;2020-09-01T00:39:22;2020-08-31T11:26:30;Configurable Station virtual;mission-critical;2020-08-31T17:36:46;35123;97487
8;Ouguiya invoice;2020-08-31T17:23:41;2020-08-31T12:41:24;pink Intuitive Sleek;generate Planner;2020-09-01T05:16:43;20468;4509
9;Handmade;2020-08-31T14:43:40;2020-09-01T01:57:21;Unions;Games;2020-08-31T13:59:56;41111;54963
10;Nakfa Applications maximize;2020-08-31T14:31:10;2020-08-31T19:07:51;Avon SAS Bedfordshire;Proactive Baby;2020-09-01T04:36:56;38740;47539
